,test_rmse,train_rmse,test_evs,train_evs,test_r2,train_r2
0,0.15660713553326125,0.10089867296951123,0.6624630337875053,0.8688627106222957,0.662458144886926,0.8688248233971589
1,0.16110520496950279,0.09931938147690551,0.6649554719139622,0.8710340216498871,0.6645440805172591,0.8709708226240673
2,0.15660146278205675,0.10068875449834788,0.6909224892228696,0.8665414762566058,0.6909223469378563,0.8665102224444925
3,0.15815307228237604,0.10089943290911166,0.6746781854873422,0.8670170135610529,0.6746728469218256,0.8669767732755462
4,0.16230444998061921,0.0994815493038916,0.6576118028498628,0.8709495226755509,0.6559558506589847,0.8708263853523566
0,0.15656769621369537,0.10085919035043871,0.6626325369216437,0.8689665028614696,0.6626281338822766,0.8689274635222207
1,0.16111789972577933,0.09927631378550728,0.6649013333963115,0.8711445748137646,0.6644912119718651,0.8710826997597535
2,0.15656907559027183,0.10066132621772762,0.6910504083999822,0.8666142260948659,0.6910501761667008,0.8665829395299881
3,0.1582527026849458,0.10084743215816343,0.6742693829613391,0.8671564638090425,0.6742628304223466,0.8671138508584465
4,0.16225403682721296,0.09946578512273085,0.6578290210269013,0.8709902967604772,0.6561695435901317,0.8708673206802837
0,0.15650988161951104,0.1008113730222063,0.6628834059135862,0.8690910873637158,0.6628772455031753,0.8690517170038851
1,0.1610580266367784,0.09922237886199767,0.6651351333294293,0.8712818859239562,0.6647405227575092,0.8712227383189457
2,0.1564992869249921,0.10056530415975073,0.6913255425674619,0.8668683370329745,0.691325535658333,0.8668373544263912
3,0.15821380517242853,0.10078583276473448,0.6744286035006939,0.8673161947974293,0.6744229390115613,0.867276139694565
4,0.1622509268175333,0.09935629401846317,0.6577992243500635,0.8712693596515004,0.656182724227365,0.8711514605512574
0,0.15645272800723414,0.10078635126858093,0.6631319636715567,0.8691534604487572,0.6631234186513162,0.8691167126278905
1,0.1610171406708433,0.09920148968846003,0.665296594337877,0.8713313239613361,0.6649107181582661,0.8712769552694195
2,0.15643140820563778,0.10052466268361643,0.6915935293787662,0.866972327915773,0.6915932414591881,0.8669449627703586
3,0.15829704765799896,0.10077595234950469,0.6740844320689723,0.8673396723930564,0.6740802511728721,0.8673021612600098
4,0.16224382922933425,0.0993146222501609,0.6577904818054595,0.8713706072963762,0.6562128038098083,0.8712595205495914
